projectNumber,name,office,projectStatus,duties,lastUpdated,description,architect,externalContact,projectPartner,projectLeader
2213054,Wood Wharf Affordable Housing and School,Vertical Transportation,Outline Proposals (RIBA stage C),Other,22 Jul 2013,"Wood Wharf Affordable Housing and School, London. Vertical Transportation consultancy. Housing and School. This is an inter-office project with London. Contact - Mark Ryder. Project Number - 0209088. Project Name - Wood Wharf Affordable Housing. 02/07/2013 - SJJ - SJR advised that the fee has increased from £42,500.00 to £62,500.00. 10/07/2013 -SJJ - SJR advised that the fee has increased to £76,000.00.",Allies and Morrison (London),,Simon Russett,Simon Russett
2213056,Paddington Bomb,Vertical Transportation,Ongoing,Other,25 Jul 2013,"Paddington Bomb, London. Vertical Transportation consultancy. This is an inter-office project with London. Contact - Clive Williamson.",None,,Simon Russett,Steven Truss
2213058,NEO Bankside - FAM,Vertical Transportation,Ongoing,Other,25 Jul 2013,"NEO Bankside - FAM, London. Facade Access consultancy.",None,Peter Chapman,Simon Russett,Philip Krausbauer
2213059,"1 Eton Street, Richmond",Vertical Transportation,Ongoing,Other,25 Jul 2013,"1 Eton Street, Richmond. Vertical Transportation consultancy. This is an inter-office project with Bristol. Contact - Steve Bonser.",None,,Simon Russett,Ron Cooke
2213060,Friars House,Vertical Transportation,Ongoing,Other,25 Jul 2013,"Friars House, London. Vertical Transportation consultancy. This is an inter-office project with London. Contact - Neil Roberts.",None,,Simon Russett,Ron Cooke
2213061,Le So Co,Vertical Transportation,Ongoing,Other,26 Jul 2013,"Le So Co, London. Vertical Transportation Consultancy. This is an inter-office project with London. Contact - Neil Roberts.",None,,Simon Russett,Ron Cooke
2213064,Project Pearl - VT,Vertical Transportation,Ongoing,Other,20 Aug 2013,"Project Pearl - VT, London. Vertical Transportation consultancy. This is an inter-office project with Operational Engineering. Contact - Alan Treacy. Project Number - 2400382. Project Name - Project Pearl - London.",,,Simon Russett,Steven Truss
2213065,"Freshfields, 65 Fleet Street",Vertical Transportation,Ongoing,Other,20 Aug 2013,"Freshfields, 65 Fleet Street, London. Vertical Transportation consultancy. Purchase order number - CS-CAPI/00973654-1, dated 14/08/2013, for £2,160.00, plus VAT.",None,,Simon Russett,Ron Cooke
2213066,Shoreditch Triangle - To Planning,Vertical Transportation,Ongoing,Other,20 Aug 2013,Shoreditch Triangle - To Planning. Vertical Transportation consultancy.,None,,Simon Russett,Steven Truss
2213068,Lillie Square 1B & 4 - FA,Vertical Transportation,Appraisal (RIBA stage A),Other,02 Sep 2013,"Lillie Square 1B & 4 - FA, London. Facade Access consultancy. This is an inter-office project with London. Contact - Richard Vincent. Project Number - 0209089. Project Name - Lillie Square - Phase 1B and 4.",,,Simon Russett,Philip Krausbauer
2213069,2 Millharbour - FA,Vertical Transportation,Ongoing,Other,11 Sep 2013,"2 Millharbour - FA, Lodon. Facade Access Consultancy. This is an inter-office project with Bournemouth. Contact - Eduardo Urinovsky.",None,,Simon Russett,Philip Krausbauer
2213071,TIQ Plot S6 Stratford,Vertical Transportation,Appraisal (RIBA stage A),Other,10 Oct 2013,"TIQ Plot S6 Stratford, London. Vertical Transportation consultancy. Fee To Be Confirmed. This is an inter-office project with London. Contact - Clive Williamson. Project Number - 0209102. Project Name - TIQ Plot S6.",tp bennett (London),,Simon Russett,Steven Truss
2213074,"The Pinnacle, London",Vertical Transportation,Ongoing,Other,16 Oct 2013,"The Pinnacle, London. Vertical Transportation consultancy. Fee To Be Confirmed.",None,Ken Faulkner,Simon Russett,Simon Russett
2213076,"Merchant Square 1, 2 & 6",Vertical Transportation,Appraisal (RIBA stage A),Other,25 Sep 2013,"Merchant Square 1,2 & 6, London. Vertical Transportation consultancy. This is an inter-office project with Bournemouth. Contact - Ian Billington. Project Number - 0709657. Project Name - 1, 2 & 6 Merchant Square.",,,Simon Russett,Clive Dunmore
2213077,Jersey Police Station,Vertical Transportation,Ongoing,Other,26 Sep 2013,"Jersey Police Station, Channel Islands. Fire Engineering consultancy. This is an inter-office project with Plymouth. Contact - Julian Flinn.",None,,Simon Russett,Clive Dunmore
2213078,10 - 11 Austin Friars,Vertical Transportation,Ongoing,Other,21 Oct 2013,"10 - 11 Austin Friars, London. Vertical Transportation consultancy. Purchase order number - AF00003, dated 23/09/2013.",None,Paul Murray,Simon Russett,Ron Cooke
2213079,"RMG - Royal College Street, Camden",Vertical Transportation,Ongoing,Other,10 Oct 2013,"RMG - Royal College Street, Camden. Vertical Transportation consultancy. This is an inter-office project with Bristol. Contact - David Matthews. Project Number - 0511545. Project Name - Royal College Street.",None,,Simon Russett,Steven Truss
2213080,"Weston House, 42 Curtain Road, London",Vertical Transportation,Ongoing,Other,10 Oct 2013,"Weston House, 42 Curtain Road, London. Vertical Transportation consultancy. This is an inter-office project with London. Contact - Linda Sheehan.",None,,Simon Russett,Ron Cooke
2213082,Project Crown,Vertical Transportation,Ongoing,Other,10 Oct 2013,"Project Crown, London. Vertical Transportation consultancy. This is an inter-office project with Leeds. Contact - Ian Cowley.",None,,Simon Russett,Clive Dunmore
2213083,"Eagle House, Bracknell - VT",Vertical Transportation,Ongoing,Other,10 Oct 2013,"Eagle House, Bracknell - VT. Vertical Transportation consultancy. Conversion of a 6 storey office block into private residential apartments. The building is located above retail units in the Bracknell Northern Regeneration Retail Quarter development. This is an inter-office project with Bristol. Contact - Phil Grew. Project Number - 0511572. Project Name - Eagle House.",None,,Simon Russett,Ron Cooke
2213084,LDP Fit Out,Vertical Transportation,Ongoing,Other,31 Oct 2013,"LDP (London Development Partnership) Fit Out, London. Vertical Transportation consultancy.",None,Tim Currie,Simon Russett,Steven Truss
2213086,Meridian Gate - VT,Vertical Transportation,Ongoing,Other,23 Oct 2013,"Meridian Gate, London. Vertical Transportation consultancy. This is an inter-office project with Bristol. Contact - Saul Tyler. Project Number - 0511567. Project Name - Meridian Gate.",None,,Simon Russett,Philip Krausbauer
2213087,2 Millharbour - VT,Vertical Transportation,Ongoing,Other,21 Oct 2013,"2 Millharbour - VT, London. Vertical Transportation consultancy. This is an inter-office project with Bournemouth. Contact - Steve Delvin. Project Number - 0709670. Project Name - 2 Mill Harbour.",,,Simon Russett,Clive Dunmore
2213088,Meridian Gate - FA,Vertical Transportation,Ongoing,Other,23 Oct 2013,Meridian Gate - FA. Facade Access consultancy. This is an inter-office project with Bristol. Contact - Saul Tyler. Project Number - 0511567. Project Name - Meridian Gate.,None,,Simon Russett,Philip Krausbauer
2213089,TFL Accommodation Hub,Vertical Transportation,Ongoing,Other,18 Oct 2013,"TFL Accommodation Hub, Canary Wharf, London. Vertical Transportation consultancy. This is an inter-office project with London. Contact - Chris Myers.",None,,Simon Russett,Ron Cooke
2213090,Lillie Square - Phase 2-3,Vertical Transportation,Ongoing,Other,22 Oct 2013,"Lillie Square - Phase 2-3, London. Vertical Transportation consultancy. This is an inter-office project with Bristol. Contact - Phil Duerdin. Project Number - 0511573. Project Name - Lillie Square Phase 2 & 3.",,,Simon Russett,Philip Krausbauer
2213094,Chelsea Barracks - FA,Vertical Transportation,Ongoing,Other,12 Nov 2013,"Chelsea Barracks - FA, London. Facade Access consultancy.",None,Peter Amato,Simon Russett,Philip Krausbauer
2213095,Chelsea Barracks - VT,Vertical Transportation,Ongoing,Other,12 Nov 2013,"Chelsea Barracks - VT, London. Vertical Transportation consultancy.",None,Peter Amato,Simon Russett,Simon Russett
2213097,Copenhagen Towers,Vertical Transportation,Ongoing,Other,08 Nov 2013,"Copenhagen Towers, Copenhagen. Facade Access consultancy.",None,,Simon Russett,Philip Krausbauer
2301101,CIBSE Nominations Panel - Sustainability,Sustainability,Ongoing,Abridged Duties,18 Jun 2013,Sustainability General/Admin project,,,Ashley Bateson,Ashley Bateson
2301102,CIBSE Council - Sustainability,Sustainability,Ongoing,Abridged Duties,18 Jun 2013,Sustainability Generl/Admin project,,,Ashley Bateson,Ashley Bateson
2301103,Building Physics Marketing - Sustainability,Sustainability,Ongoing,Other,01 Jul 2013,Sustainability,,,Ashley Bateson,Ashley Bateson
2301104,Modelling strategy development - Sustainability,Sustainability,Ongoing,Other,01 Jul 2013,Sustainability,,,Ashley Bateson,Ashley Bateson
2301105,London Plan Policy 5.2 - Route to 40%,Sustainability,Ongoing,Other,01 Jul 2013,Sustainability,,,Ashley Bateson,Greg Jones
2301106,Sustainability-Ska Training,Sustainability,Ongoing,Abridged Duties,11 Jul 2013,,,,Ashley Bateson,William White
2301107,Energy Strategy Roadshow,Sustainability,Ongoing,Abridged Duties,30 Jul 2013,,,,Ashley Bateson,James Ford
2301108,CHP QA Group,Sustainability,Ongoing,Abridged Duties,12 Aug 2013,,,,Ashley Bateson,Ashley Bateson
2301109,BCO Conference Presentation 2014,Sustainability,Ongoing,Abridged Duties,14 Aug 2013,,,,Ashley Bateson,Ashley Bateson
2310204,Peninsula Riverside South - Plots 104 &121 - Sustainability,Sustainability,Ongoing,Abridged Duties,18 Jun 2013,Sustainability No fee proposal No fee acceptance No idea who in HL Birmingham authorised works,,,Ashley Bateson,Ashley Bateson
2310205,MIRA Technology Park - Nuneaton - Sustainability,Sustainability,Ongoing,Abridged Duties,03 Oct 2013,Sustainability 30/09/2013 Project changed from I/O to External as requested by AEB.,None,,Ashley Bateson,Ashley Bateson
2310206,Kenavon Drive - Reading - Sustainability,Sustainability,Ongoing,Abridged Duties,21 Jun 2013,Sustainability,,,Ashley Bateson,James Ford
2310207,Bath Business Park - Car Dealership,Sustainability,Ongoing,Abridged Duties,01 Jul 2013,Sustainability,,,Ashley Bateson,James Ford
2310208,19 Buckingham Gate,Sustainability,Appraisal (RIBA stage A),Abridged Duties,10 Jul 2013,,,,Ashley Bateson,Julie Godefroy
2310210,LeSoCo Phase 2,Sustainability,Ongoing,Abridged Duties,10 Jul 2013,I/O - HL London Neil Roberts,None,,Ashley Bateson,Julie Godefroy
2310211,Earls Court - North End Village - Waste Management,Sustainability,Ongoing,Abridged Duties,11 Sep 2013,Sustainability,,,Ashley Bateson,James Ford
2310212,Latchmere House - Sustainability,Sustainability,Ongoing,Abridged Duties,12 Sep 2013,Sustainability,,,Ashley Bateson,Julie Godefroy
2310213,Fleet House,Sustainability,Ongoing,Abridged Duties,30 Jul 2013,New Build,,,Ashley Bateson,James Ford
2310214,G Gate - Olympia,Sustainability,Ongoing,Abridged Duties,31 Jul 2013,New Build Hotel,None,,Ashley Bateson,James Ford
2310215,Stanhope Gate,Sustainability,Ongoing,Abridged Duties,05 Aug 2013,I/O Timecharge,,,Ashley Bateson,James Ford
2310216,Project Pearl - London,Sustainability,Ongoing,Abridged Duties,14 Aug 2013,Time Charge project,,,Ashley Bateson,Ashley Bateson
2310217,Earls Court MUSCO Procurement,Sustainability,Ongoing,Abridged Duties,14 Aug 2013,New Build,,,Ashley Bateson,James Ford
2310219,Bourne Business Park,Sustainability,Ongoing,Abridged Duties,14 Aug 2013,,,,Ashley Bateson,Julie Godefroy
2310220,Sloane School and Kings Chapel,Sustainability,Ongoing,Abridged Duties,14 Aug 2013,,,,Ashley Bateson,Julie Godefroy
2310221,West Brompton,Sustainability,Ongoing,Abridged Duties,19 Aug 2013,New Build,,,Ashley Bateson,James Ford
2310222,Science Museum Post Office,Sustainability,Ongoing,Abridged Duties,28 Aug 2013,,,,Ashley Bateson,Julie Godefroy
2310224,Lillie Square - Phases 1B & 4 - Sustainability,Sustainability,Ongoing,Abridged Duties,11 Sep 2013,Sustainability,,,Ashley Bateson,James Ford
2310225,Nunnery Way,Sustainability,Ongoing,Abridged Duties,24 Oct 2013,Sustainability,,,Ashley Bateson,James Ford
2310226,Piccadilly Estate 2 - New Applications - Sustainability,Sustainability,Ongoing,Abridged Duties,07 Nov 2013,Sustainability,,,Ashley Bateson,James Ford
2310227,Royal College Street - London,Sustainability,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Ashley Bateson,James Ford
2310228,8-10 Grafton Street - Westminster - Sustainability,Sustainability,Ongoing,Abridged Duties,09 Oct 2013,Sustainability Time charge works,,,Ashley Bateson,Julie Godefroy
2310229,Shell Centre Fit-out - Sustainability,Sustainability,Ongoing,Abridged Duties,09 Oct 2013,Sustainability,,,Ashley Bateson,Julie Godefroy
2310230,Wood Wharf - Affordable Housing & School - Sustainability,Sustainability,Outline Proposals (RIBA stage C),Abridged Duties,24 Oct 2013,Sustainability,Allies and Morrison (London),,Ashley Bateson,Julie Godefroy
2310232,Lillie Square - Phase 2 & 3 - Sustainability,Sustainability,Ongoing,Abridged Duties,23 Oct 2013,Sustainability,,,Ashley Bateson,James Ford
2310233,Oxford Westgate - Wind CFD Study,Sustainability,Ongoing,Abridged Duties,01 Nov 2013,Wind CFD Study,,,Ashley Bateson,Darren Woolf
2310234,Graven Hill - Bicester - Sustainability,Sustainability,Ongoing,Abridged Duties,01 Nov 2013,,,,Ashley Bateson,Julie Godefroy
2380303,The Drive - Walthamstow - Sustainability,Sustainability,Ongoing,Abridged Duties,21 Jun 2013,Sustainability,,,Ashley Bateson,Julie Godefroy
2380319,Graven Hill - Bicester - Sustainability,Sustainability,Ongoing,Abridged Duties,09 Oct 2013,Sustainability,,,Ashley Bateson,Julie Godefroy
2400364,Sloane Stanley - Beaufort Terrace - Retail Units Ventilation,Operational Engineering,Ongoing,Abridged Duties,24 May 2013,Operational Engineering,,,Chris Myers,Ray Palmer
2400367,Queensland House - Maintenance Contract,Operational Engineering,Ongoing,Abridged Duties,12 Jun 2013,Operational Engineering,,,Chris Myers,Ray Palmer
2400369,33 Robert Adam Street - London - Post Project M&E Review,Operational Engineering,Ongoing,Abridged Duties,22 Jul 2013,Operational Engineering,,,Chris Myers,Ray Palmer
2400370,21 Chesham Place - Maintenance Procurement & Contract Management,Operational Engineering,Ongoing,Abridged Duties,01 Jul 2013,Operational Engineering,,,Chris Myers,Ray Palmer
2400371,Optimum Shopping Centre - Istanbul - LFS 19 & 20 Design Review & Remedial Works,Operational Engineering,Ongoing,Abridged Duties,01 Jul 2013,Opreational Engineering,,,Chris Myers,Alan Treacy
2400372,Thames Barrier - View Café & Visitor Information Centre - DEC,Operational Engineering,Ongoing,Abridged Duties,10 Jul 2013,Operational Engineering,,,Chris Myers,Troy Wilks
2400373,Ski Dubai - Ammonia Plant H&S Audit Inspection,Operational Engineering,Ongoing,Abridged Duties,10 Jul 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2400374,99 Gresham Street - Chiller Project,Operational Engineering,Ongoing,Abridged Duties,17 Jul 2013,Operational Engineering,None,Jonathan Burt,Chris Myers,Alan Treacy
2400375,3-10 Grosvenor Crescent (GCD Ltd),Operational Engineering,Ongoing,Abridged Duties,17 Jul 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2400376,West End Quay - Chiller Condition Survey,Operational Engineering,Ongoing,Abridged Duties,17 Jul 2013,Operational Engineering,,,Chris Myers,Ray Palmer
2400377,Environment Agency - DEC's 2013 for English Sites,Operational Engineering,Ongoing,Abridged Duties,07 Nov 2013,Operational Engineering,,,Chris Myers,Troy Wilks
2400378,3-10 Grosvenor - MEP Maintenance Review (GCD Ltd),Operational Engineering,Ongoing,Abridged Duties,22 Jul 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2400379,20 King Street - Chiller & AHU Replacement,Operational Engineering,Ongoing,Abridged Duties,06 Aug 2013,Operational Engineering,,,Mark Cunniffe,Ray Palmer
2400380,Optimum Shopping Centre - Ankara - Istanbul - LFS Design Review,Operational Engineering,Ongoing,Abridged Duties,08 Aug 2013,Operational Engineering,,,Chris Myers,Troy Wilks
2400381,33 Robert Adam St - 3rd Floor LTA,Operational Engineering,Ongoing,Abridged Duties,13 Aug 2013,Operational Engineering,,,Chris Myers,David O'Sullivan
2400382,Project Pearl - London,Operational Engineering,Ongoing,Abridged Duties,14 Aug 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2400384,32 Lombard - Cooling System Advice & Validation,Operational Engineering,Ongoing,Abridged Duties,21 Aug 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2400385,Optimum Shopping Centre - Ankara - M&E Commissioning (RYG),Operational Engineering,Ongoing,Abridged Duties,06 Sep 2013,Operational Engineering,,,Chris Myers,Troy Wilks
2400386,Optimum Shopping Centre - Ankara - LFS Commissioning (RYG),Operational Engineering,Ongoing,Abridged Duties,06 Sep 2013,Operational Engineering,,,Chris Myers,Troy Wilks
2400387,Wellcome Trust PP - Maintenance Tender - Contract Management & Condition Surveys,Operational Engineering,Ongoing,Abridged Duties,17 Sep 2013,Operational Engineering,,,Chris Myers,David O'Sullivan
2400388,RAX A/C Dispute - Data Centre Slough,Operational Engineering,Ongoing,Abridged Duties,17 Sep 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2400389,Accenture - 4th Floor FCS - Operational Engineering,Operational Engineering,Ongoing,Abridged Duties,07 Oct 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2400390,Roma Est - Phase 4 Works,Operational Engineering,Ongoing,Abridged Duties,06 Nov 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2400391,Oxford University Press - Chiller Options,Operational Engineering,Ongoing,Abridged Duties,14 Oct 2013,Operational Engineering,None,,Chris Myers,Alan Treacy
2400392,42 Wigmore Street - Chiller Installation Review,Operational Engineering,Ongoing,Abridged Duties,05 Nov 2013,Operational Engineering,,,Chris Myers,Alan Treacy
2510135,Spring Mews - Post Tender,Security,Ongoing,Abridged Duties,28 May 2013,Inter-Office to London,,,Mark Ryder,Pierre Burger
2510136,Fulham Wharf - Security Review,Security,Ongoing,Abridged Duties,22 Jul 2013,Barratt Residential Asset Manangement Limited Fee increased 19 June 2013,None,,Mark Ryder,Pierre Burger
2510139,Farnham Road Hospital - Security Extra Works,Security,Ongoing,Abridged Duties,16 Jul 2013,"Extra Works - Fee Capped at £1,500.00.",None,,Mark Ryder,Pierre Burger
2510140,Mid Kent College Redevelopment Phase 2,Security,Ongoing,Abridged Duties,13 Aug 2013,13/08/2013 - Changed to External Project as requested by PB.,None,Jane Fennell,Mark Ryder,Pierre Burger
2510141,BHR Paddock Centre - Security Review,Security,Ongoing,Abridged Duties,06 Aug 2013,I/O - HL Bristol Graham Cossons,,,Mark Ryder,Pierre Burger
2510142,Lloyd's Register,Security,Ongoing,Abridged Duties,23 Sep 2013,Security Lloyds - Southampton,None,,Mark Ryder,Pierre Burger
2510143,Midkent College - Surveillance Design,Security,Ongoing,Abridged Duties,02 Oct 2013,"Surveillance Design £4,000 Fee",None,Jane Fennell,Mark Ryder,Pierre Burger
2601054,"Harris Academy, Bromley",Cambridge,Briefing (RIBA stage B),Full Duties,01 Jul 2013,New build school part of the London priorty school programme.,,,Andrew Warrack,Paul Cooper
2601055,"Harris Academy, Greenwich",Cambridge,Briefing (RIBA stage B),Full Duties,01 Jul 2013,New build school part of london school priority,,,Andrew Warrack,Paul Cooper
2601056,Southend Towers,Cambridge,Report Only,Report,01 Aug 2013,Feasibility for conversion of existing office accommodation into affordable residential units.,None,Ben Goode,Andrew Warrack,Jamie Cooper
2601057,"DC20, Cambridge Assessments",Cambridge,Outline Proposals (RIBA stage C),Framework Agreement,21 Aug 2013,Office refurbishment,,,Andrew Warrack,Jamie Cooper
2601058,KCG Restack 2013,Cambridge,Production Information (RIBA stage F),Other,25 Sep 2013,CIty bank refit.,,,Andrew Warrack,Greg Carpenter
2601059,BAM - Pardes,Cambridge,Appraisal (RIBA stage A),Stage C/D only,20 Sep 2013,Refurbishment of grade II listed primary school.,,,Andrew Warrack,Greg Carpenter
2601060,Lansdown School,Cambridge,Appraisal (RIBA stage A),Full Duties,24 Sep 2013,Lansdown School - London PSBP,,,Andrew Warrack,Andrew Warrack
2601061,BAM - Hawkswood PRU,Cambridge,Appraisal (RIBA stage A),Framework Agreement,16 Oct 2013,New build of primary PRU and demolition of existing structures connecting into nursery PRU to be retained.,,,Andrew Warrack,Greg Carpenter
2601062,PJMR building at Johnson Matthey,Cambridge,Report Only,Report,25 Oct 2013,"Survey for the design, supply and installation of a new heating and hot water system",,,Andrew Warrack,Paul Cooper
4000101,Abu Dhabi Airport,Abu Dhabi,Ongoing,Other,31 Jul 2013,expected fee as TBC,,,Andrew Morris,Andrew Morris
4000102,Rhawdat Plot C98 CxA,Abu Dhabi,Ongoing,Other,30 May 2013,IDP R3 for the Rowdhat Abu Dhabi residential development.,,,Andrew Morris,Cara Tissandier
4000211,ITech Mafraq Support,Abu Dhabi,Ongoing,Other,18 Jun 2013,TBC,,,Andrew Morris,Ian Gow
4000223,ADNOC New Medical Center,Abu Dhabi,Ongoing,Other,30 Jun 2013,TBC,,,Andrew Morris,Cara Tissandier
4000233,Irena Fit Out,Abu Dhabi,Ongoing,Other,23 Jul 2013,TBC,,,Andrew Morris,Ian Gow
4000237,UAE Military Museum,Abu Dhabi,Ongoing,Other,10 Jul 2013,TBC,,,Andrew Morris,Ian Gow
4000246,"Al Ain STS, CxA",Abu Dhabi,Ongoing,Other,19 Aug 2013,Construction stage works for the Al Ain Secondary school 40-00111 Client as TBC,,,Andrew Morris,Cara Tissandier
4000261,King Abdullah Medical City,Abu Dhabi,Ongoing,Other,10 Oct 2013,Fee as TBC,,,Andrew Morris,Ian Gow
4000273,BMA office,Abu Dhabi,Ongoing,Other,30 Sep 2013,No Fee/ We will provide them a drawings for their office.,,,Andrew Morris,Ian Gow
0103443A,Aston Student Village - Severn Trent Water,Birmingham,Ongoing,Abridged Duties,15 Jul 2013,,None,,Gary Andrews,Gary Andrews
0511347A,Motability Ciy Gate House - Voltage Optimisation Study,Bristol,Report Only,Report,14 Aug 2013,Voltage Optimisation - Assessement and Site Survey,,,Justin Spencer,David Matthews
0511541A,BNP RE Cat B Fit Out - KXC B1,Bristol,Ongoing,Full Duties,06 Nov 2013,MEP fees Nov13-Dec 15,,,Saul Tyler,David Matthews
1003740A,Henry Moore Court - Manresa Rd (ECH),Acoustics,Ongoing,Abridged Duties,03 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1004280A,Jersey Police Relocation to Green Street (SofJ),Acoustics,Ongoing,Abridged Duties,13 Nov 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1004426A,Cliffords Inn - Acoustics (CLSH),Acoustics,Ongoing,Abridged Duties,16 Sep 2013,Acoustics,,,Jo Edwards,Brian Dennis
1004539A,Druim Leathann Wind Farm - NIA (DLW Ltd),Acoustics,Ongoing,Abridged Duties,18 Sep 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1004604A,261 City Road - M&E Acoustics (HL London),Acoustics,Ongoing,Abridged Duties,04 Oct 2013,Acoustics,,,Jo Edwards,Brian Dennis
1004704A,Manchester City Training Academy (MCFA) (Balfour Beatty),Acoustics,Ongoing,Abridged Duties,03 Oct 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1004779A,653 Long Acre - Block C - Mercers Yard - London (Hanover Cube),Acoustics,Ongoing,Abridged Duties,13 Nov 2013,Acoustics,,,Andrew Bullmore,Gael Vilatarsana
1005001A,Baillie Wind Farm - Operational Noise Measurements - (Nordex),Acoustics,Ongoing,Abridged Duties,11 Jun 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005048A,Sloane School - Acoustics,Acoustics,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Jo Edwards,Barry Jobling
1520267N,Old Indian Institute - Novated,Oxford,Ongoing,Other,24 Oct 2013,,,,Matthew Jones,Matthew Phinbow
15s0013,188 Bath Road,Oxford,Report Only,Framework Agreement,12 Aug 2013,Review of fit out proposals by existing Tenant,,,Matthew Jones,Matthew Phinbow
15S0014,234 Bath Road Retained Scheme,Oxford,Appraisal (RIBA stage A),Abridged Duties,27 Sep 2013,800sqm total refurbishment of existing office buildings.,,,Matthew Jones,Matthew Phinbow
1901881A,Niftylift - Site C - Shenley Wood,Fire,Ongoing,Abridged Duties,02 Jul 2013,"Niftylift - Site C - Shenley Wood, Milton Keynes. Fire Engineering consultancy.",None,Steven Reading,Steve Buckley,Ian F Hall
1902579A,"Police Headquarters, Jersey (Plymouth)",Fire,Ongoing,Other,17 Oct 2013,"Police Headquaters, Jersey (Plymouth). Fire Engineering consultancy. This is an inter-office project with Plymouth. Project Number - 0307511. Project Name - Jersey Police HQ.",,,Steve Buckley,Ian F Hall
1902772A,South Wales Police Custody Centre (HL Cardiff),Fire,Construction (RIBA stage K),Other,24 Jul 2013,South Wales Police Custody Centre (HL Cardiff). Fire Engineering consultancy. This is an inter-office project with Cardiff. Contact - Wynne Harris. Project Number - 0991259. Project Name - SWP Bridgend Custody Suite.,Archial Architects (Birmingham),,Steve Buckley,Gary Daniels
1902772B,South Wales Police Custody Centre (HL Cardiff),Fire,Construction (RIBA stage K),Other,24 Jul 2013,South Wales Police Custody Centre (HL Cardiff). Fire Engineering consultancy. This is an inter-office project with Cardiff. Contact - Wynne Harris. Project Number - 0991260. Project Name - SWP Merthyr Tydfil.,Archial Architects (Birmingham),,Steve Buckley,Gary Daniels
2310034A,Radnor Walk - Chelsea - Waste Strategy (I-O),Sustainability,Ongoing,Abridged Duties,03 Oct 2013,Sustainability,,,Ashley Bateson,James Ford
2310139A,Project Lillie - London - Sustainability (HL London),Sustainability,Ongoing,Abridged Duties,18 Jun 2013,Sustainability,,,Ashley Bateson,James Ford
2310140A,1 Palace Street - BREEAM-DR Registration,Sustainability,Ongoing,Abridged Duties,10 Jul 2013,,None,,Ashley Bateson,James Ford
2400377A,Environment Agency - DEC's 2013 for Welsh Sites,Operational Engineering,Ongoing,Abridged Duties,07 Nov 2013,"Operational Engineering ""Natural Resources Wales"" is the Welsh version of the Environment Agency",,,Chris Myers,Alan Treacy
2601055F,"Harris Academy, Greenwich",Cambridge,Briefing (RIBA stage B),Other,27 Aug 2013,Free engineering for new build school part of london school priority.,None,,Andrew Warrack,Paul Cooper
